date,station_pk,fuel,price
2023-01-02,1923,avtoplin-lpg,0.989
2023-01-02,1945,avtoplin-lpg,0.989
2023-01-02,1949,avtoplin-lpg,0.989
2023-01-02,1976,avtoplin-lpg,0.989
2023-01-02,1977,avtoplin-lpg,0.989
2023-01-02,1978,avtoplin-lpg,0.989
2023-01-02,2000,avtoplin-lpg,0.989
2023-01-02,2009,avtoplin-lpg,0.989
2023-01-02,2018,avtoplin-lpg,0.989
2023-01-02,2026,avtoplin-lpg,0.989
2023-01-02,2027,avtoplin-lpg,0.989
2023-01-02,2030,avtoplin-lpg,0.989
2023-01-02,2031,avtoplin-lpg,0.989
2023-01-02,2032,avtoplin-lpg,0.989
2023-01-02,2059,avtoplin-lpg,0.989
2023-01-02,2060,avtoplin-lpg,0.989
2023-01-02,2088,avtoplin-lpg,0.989
2023-01-02,2089,avtoplin-lpg,0.989
2023-01-02,2096,avtoplin-lpg,0.989
2023-01-02,2100,avtoplin-lpg,0.989
2023-01-02,2101,avtoplin-lpg,0.989
2023-01-02,2120,avtoplin-lpg,0.989
2023-01-02,2123,avtoplin-lpg,0.989
2023-01-02,2175,avtoplin-lpg,0.989
2023-01-02,2176,avtoplin-lpg,0.989
2023-01-02,2201,avtoplin-lpg,0.989
2023-01-02,2202,avtoplin-lpg,0.989
2023-01-02,2216,avtoplin-lpg,0.989
2023-01-02,2229,avtoplin-lpg,0.989
2023-01-02,2230,avtoplin-lpg,0.989
2023-01-02,2231,avtoplin-lpg,0.989
2023-01-02,2232,avtoplin-lpg,0.989
2023-01-04,766,100,1.557
2023-01-04,766,95,1.276
2023-01-04,766,dizel,1.483
2023-01-04,767,100,1.557
2023-01-04,767,95,1.276
2023-01-04,767,KOEL,1.115
2023-01-04,767,dizel,1.483
2023-01-04,768,100,1.678
2023-01-04,768,95,1.332
2023-01-04,768,dizel,1.539
2023-01-04,768,dizel-premium,1.848
2023-01-04,769,95,1.276
2023-01-04,769,dizel,1.483
2023-01-04,770,100,1.557
2023-01-04,770,95,1.276
2023-01-04,770,dizel,1.483
2023-01-04,770,dizel-premium,1.718
2023-01-04,771,100,1.557
2023-01-04,771,95,1.276
2023-01-04,771,KOEL,1.115
2023-01-04,771,dizel,1.483
2023-01-04,771,dizel-premium,1.718
2023-01-04,772,100,1.557
2023-01-04,772,95,1.276
2023-01-04,772,dizel,1.483
2023-01-04,773,100,1.557
2023-01-04,773,95,1.276
2023-01-04,773,KOEL,1.115
2023-01-04,773,dizel,1.483
2023-01-04,774,100,1.557
2023-01-04,774,95,1.276
2023-01-04,774,dizel,1.483
2023-01-04,775,100,1.557
2023-01-04,775,95,1.276
2023-01-04,775,dizel,1.483
2023-01-04,775,dizel-premium,1.718
2023-01-04,776,100,1.557
2023-01-04,776,95,1.276
2023-01-04,776,KOEL,1.115
2023-01-04,776,dizel,1.483
2023-01-04,777,100,1.728
2023-01-04,777,95,1.582
2023-01-04,777,dizel,1.758
2023-01-04,778,100,1.728
2023-01-04,778,95,1.582
2023-01-04,778,dizel,1.758
2023-01-04,779,100,1.557
2023-01-04,779,95,1.276
2023-01-04,779,KOEL,1.115
2023-01-04,779,dizel,1.483
2023-01-04,780,100,1.557
2023-01-04,780,95,1.276
2023-01-04,780,KOEL,1.115
2023-01-04,780,dizel,1.483
2023-01-04,781,100,1.728
2023-01-04,781,95,1.582
2023-01-04,781,dizel,1.758
2023-01-04,782,100,1.728
2023-01-04,782,95,1.582
2023-01-04,782,dizel,1.758
2023-01-04,783,100,1.557
2023-01-04,783,95,1.276
2023-01-04,783,KOEL,1.115
2023-01-04,783,dizel,1.483
2023-01-04,784,dizel,1.483
2023-01-04,785,dizel,1.483
2023-01-04,786,dizel,1.483
2023-01-04,788,dizel,1.483
2023-01-04,789,100,1.557
2023-01-04,789,95,1.276
2023-01-04,789,dizel,1.483
2023-01-04,789,dizel-premium,1.718
2023-01-04,790,100,1.728
2023-01-04,790,95,1.582
2023-01-04,790,dizel,1.758
2023-01-04,791,100,1.728
2023-01-04,791,95,1.582
2023-01-04,791,dizel,1.758
2023-01-04,792,100,1.557
2023-01-04,792,95,1.276
2023-01-04,792,KOEL,1.115
2023-01-04,792,dizel,1.483
2023-01-04,793,100,1.728
2023-01-04,793,95,1.582
2023-01-04,793,dizel,1.758
2023-01-04,794,95,1.276
2023-01-04,794,dizel,1.483
2023-01-04,796,100,1.728
2023-01-04,796,95,1.582
2023-01-04,796,dizel,1.758
2023-01-04,797,100,1.557
2023-01-04,797,95,1.276
2023-01-04,797,KOEL,1.115
2023-01-04,797,dizel,1.483
2023-01-04,797,dizel-premium,1.718
2023-01-04,798,100,1.557
2023-01-04,798,95,1.276
2023-01-04,798,dizel,1.483
2023-01-04,798,dizel-premium,1.718
2023-01-04,799,100,1.557
2023-01-04,799,95,1.276
2023-01-04,799,KOEL,1.115
2023-01-04,799,dizel,1.483
2023-01-04,799,dizel-premium,1.718
2023-01-04,800,100,1.557
2023-01-04,800,95,1.276
2023-01-04,800,dizel,1.483
2023-01-04,800,dizel-premium,1.718
2023-01-04,801,100,1.557
2023-01-04,801,95,1.276
2023-01-04,801,dizel,1.483
2023-01-04,802,100,1.557
2023-01-04,802,95,1.276
2023-01-04,802,dizel,1.483
2023-01-04,803,100,1.557
2023-01-04,803,95,1.276
2023-01-04,803,KOEL,1.115
2023-01-04,803,dizel,1.483
2023-01-04,803,dizel-premium,1.718
2023-01-04,804,100,1.678
2023-01-04,804,95,1.332
2023-01-04,804,dizel,1.539
2023-01-04,804,dizel-premium,1.848
2023-01-04,805,100,1.678
2023-01-04,805,95,1.332
2023-01-04,805,KOEL,1.115
2023-01-04,805,dizel,1.539
2023-01-04,805,dizel-premium,1.848
2023-01-04,806,100,1.557
2023-01-04,806,95,1.276
2023-01-04,806,dizel,1.483
2023-01-04,807,100,1.557
2023-01-04,807,95,1.276
2023-01-04,807,KOEL,1.115
2023-01-04,807,dizel,1.483
2023-01-04,808,100,1.557
2023-01-04,808,95,1.276
2023-01-04,808,dizel,1.483
2023-01-04,809,100,1.557
2023-01-04,809,95,1.276
2023-01-04,809,dizel,1.483
2023-01-04,810,100,1.557
2023-01-04,810,95,1.276
2023-01-04,810,KOEL,1.115
2023-01-04,810,dizel,1.483
2023-01-04,810,dizel-premium,1.718
2023-01-04,811,95,1.276
2023-01-04,811,dizel,1.483
2023-01-04,812,100,1.557
2023-01-04,812,95,1.276
2023-01-04,812,dizel,1.483
