date,station_pk,fuel,price
2025-01-01,2258,dizel,1.554
2025-01-01,2259,dizel,1.554
2025-01-01,2260,dizel,1.554
2025-01-01,2261,dizel,1.554
2025-01-01,2262,dizel,1.554
2025-01-01,2263,dizel,1.554
2025-01-01,2264,dizel,1.554
2025-01-01,2265,dizel,1.554
2025-01-01,2266,100,1.789
2025-01-01,2266,95,1.495
2025-01-01,2266,dizel,1.554
2025-01-01,2267,100,1.712
2025-01-01,2267,95,1.495
2025-01-01,2267,98,1.712
2025-01-01,2267,KOEL,1.153
2025-01-01,2267,dizel,1.554
2025-01-01,2268,100,1.712
2025-01-01,2268,95,1.495
2025-01-01,2268,98,1.712
2025-01-01,2268,KOEL,1.153
2025-01-01,2268,dizel,1.554
2025-01-01,2296,95,1.479
2025-01-01,2296,dizel,1.529
2025-01-01,2306,95,1.495
2025-01-01,2306,KOEL,1.153
2025-01-01,2306,dizel,1.554
2025-01-01,2316,95,1.495
2025-01-01,2316,dizel,1.554
2025-01-01,2317,95,1.495
2025-01-01,2317,dizel,1.554
2025-01-01,2322,dizel,1.554
2025-01-01,2334,100,1.789
2025-01-01,2334,95,1.495
2025-01-01,2334,dizel,1.554
2025-01-01,2335,100,1.789
2025-01-01,2335,95,1.495
2025-01-01,2335,dizel,1.554
2025-01-01,2336,100,1.789
2025-01-01,2336,95,1.495
2025-01-01,2336,dizel,1.554
2025-01-01,2337,100,1.789
2025-01-01,2337,95,1.495
2025-01-01,2337,dizel,1.554
2025-01-01,2338,100,1.789
2025-01-01,2338,95,1.495
2025-01-01,2338,dizel,1.554
2025-01-01,2339,100,1.789
2025-01-01,2339,95,1.495
2025-01-01,2339,dizel,1.554
2025-01-01,2340,100,1.789
2025-01-01,2340,95,1.495
2025-01-01,2340,dizel,1.554
2025-01-01,2341,100,1.789
2025-01-01,2341,95,1.495
2025-01-01,2341,dizel,1.554
2025-01-01,2342,100,1.789
2025-01-01,2342,95,1.495
2025-01-01,2342,dizel,1.554
2025-01-01,2343,100,1.789
2025-01-01,2343,95,1.495
2025-01-01,2343,dizel,1.554
2025-01-01,2344,100,1.789
2025-01-01,2344,95,1.495
2025-01-01,2344,dizel,1.554
2025-01-01,2345,100,1.789
2025-01-01,2345,95,1.495
2025-01-01,2345,dizel,1.554
2025-01-01,2346,100,1.789
2025-01-01,2346,95,1.495
2025-01-01,2346,dizel,1.554
2025-01-01,2347,100,1.789
2025-01-01,2347,95,1.495
2025-01-01,2347,dizel,1.554
2025-01-01,2348,100,1.789
2025-01-01,2348,95,1.495
2025-01-01,2348,dizel,1.554
2025-01-01,2349,100,1.789
2025-01-01,2349,95,1.495
2025-01-01,2349,dizel,1.554
2025-01-01,2350,95,1.545
2025-01-01,2350,dizel,1.604
2025-01-01,2351,100,1.789
2025-01-01,2351,95,1.495
2025-01-01,2351,dizel,1.554
2025-01-01,2352,95,1.545
2025-01-01,2352,dizel,1.604
2025-01-01,2353,100,1.789
2025-01-01,2353,95,1.495
2025-01-01,2353,dizel,1.554
2025-01-01,2354,100,1.789
2025-01-01,2354,95,1.495
2025-01-01,2354,dizel,1.554
2025-01-01,2355,100,1.789
2025-01-01,2355,95,1.495
2025-01-01,2355,dizel,1.554
2025-01-01,2356,100,1.789
2025-01-01,2356,95,1.495
2025-01-01,2356,dizel,1.554
2025-01-01,2357,100,1.789
2025-01-01,2357,95,1.495
2025-01-01,2357,dizel,1.554
