date,station_pk,fuel,price
2020-10-02,766,100,1.129
2020-10-02,766,95,1.000
2020-10-02,766,dizel,1.000
2020-10-02,767,100,1.129
2020-10-02,767,95,1.000
2020-10-02,767,KOEL,0.777
2020-10-02,767,dizel,1.000
2020-10-02,768,100,1.169
2020-10-02,768,95,1.029
2020-10-02,768,dizel,1.019
2020-10-02,768,dizel-premium,1.239
2020-10-02,769,95,1.000
2020-10-02,769,dizel,1.000
2020-10-02,770,100,1.129
2020-10-02,770,95,1.000
2020-10-02,770,dizel,1.000
2020-10-02,771,100,1.129
2020-10-02,771,95,1.000
2020-10-02,771,KOEL,0.777
2020-10-02,771,dizel,1.000
2020-10-02,772,100,1.129
2020-10-02,772,95,1.000
2020-10-02,772,dizel,1.000
2020-10-02,773,100,1.129
2020-10-02,773,95,1.000
2020-10-02,773,KOEL,0.777
2020-10-02,773,dizel,1.000
2020-10-02,774,100,1.129
2020-10-02,774,95,1.000
2020-10-02,774,dizel,1.000
2020-10-02,775,100,1.129
2020-10-02,775,95,1.000
2020-10-02,775,dizel,1.000
2020-10-02,776,100,1.129
2020-10-02,776,95,1.000
2020-10-02,776,KOEL,0.777
2020-10-02,776,dizel,1.000
2020-10-02,777,100,1.169
2020-10-02,777,95,1.039
2020-10-02,777,dizel,1.029
2020-10-02,777,dizel-premium,1.239
2020-10-02,778,100,1.169
2020-10-02,778,95,1.039
2020-10-02,778,dizel,1.029
2020-10-02,778,dizel-premium,1.239
2020-10-02,779,100,1.129
2020-10-02,779,95,1.000
2020-10-02,779,KOEL,0.777
2020-10-02,779,dizel,1.000
2020-10-02,780,100,1.129
2020-10-02,780,95,1.000
2020-10-02,780,KOEL,0.777
2020-10-02,780,dizel,1.000
2020-10-02,781,100,1.169
2020-10-02,781,95,1.039
2020-10-02,781,KOEL,0.867
2020-10-02,781,avtoplin-lpg,0.587
2020-10-02,781,dizel,1.029
2020-10-02,781,dizel-premium,1.239
2020-10-02,782,100,1.169
2020-10-02,782,95,1.039
2020-10-02,782,avtoplin-lpg,0.587
2020-10-02,782,dizel,1.029
2020-10-02,782,dizel-premium,1.239
2020-10-02,783,100,1.129
2020-10-02,783,95,1.000
2020-10-02,783,KOEL,0.777
2020-10-02,783,dizel,1.000
2020-10-02,784,dizel,1.000
2020-10-02,785,dizel,1.000
2020-10-02,786,dizel,1.000
2020-10-02,787,dizel,1.000
2020-10-02,788,dizel,1.000
2020-10-02,789,100,1.129
2020-10-02,789,95,1.000
2020-10-02,789,avtoplin-lpg,0.582
2020-10-02,789,dizel,1.000
2020-10-02,790,100,1.169
2020-10-02,790,95,1.039
2020-10-02,790,dizel,1.029
2020-10-02,790,dizel-premium,1.239
2020-10-02,791,100,1.169
2020-10-02,791,95,1.039
2020-10-02,791,avtoplin-lpg,0.587
2020-10-02,791,dizel,1.029
2020-10-02,791,dizel-premium,1.239
2020-10-02,792,100,1.129
2020-10-02,792,95,1.000
2020-10-02,792,KOEL,0.777
2020-10-02,792,dizel,1.000
2020-10-02,793,100,1.169
2020-10-02,793,95,1.039
2020-10-02,793,avtoplin-lpg,0.587
2020-10-02,793,dizel,1.029
2020-10-02,793,dizel-premium,1.239
2020-10-02,794,95,1.000
2020-10-02,794,dizel,1.000
2020-10-02,795,100,1.129
2020-10-02,795,95,1.000
2020-10-02,795,KOEL,0.777
2020-10-02,795,dizel,1.000
2020-10-02,796,100,1.169
2020-10-02,796,95,1.039
2020-10-02,796,avtoplin-lpg,0.587
2020-10-02,796,dizel,1.029
2020-10-02,796,dizel-premium,1.239
2020-10-02,797,100,1.129
2020-10-02,797,95,1.000
2020-10-02,797,KOEL,0.777
2020-10-02,797,dizel,1.000
2020-10-02,798,100,1.129
2020-10-02,798,95,1.000
2020-10-02,798,dizel,1.000
2020-10-02,799,100,1.129
2020-10-02,799,95,1.000
2020-10-02,799,KOEL,0.777
2020-10-02,799,dizel,1.000
2020-10-02,800,100,1.129
2020-10-02,800,95,1.000
2020-10-02,800,dizel,1.000
2020-10-02,801,100,1.129
2020-10-02,801,95,1.000
2020-10-02,801,dizel,1.000
2020-10-02,802,100,1.129
2020-10-02,802,95,1.000
2020-10-02,802,dizel,1.000
2020-10-02,803,100,1.129
2020-10-02,803,95,1.000
2020-10-02,803,KOEL,0.777
2020-10-02,803,dizel,1.000
2020-10-02,804,100,1.169
2020-10-02,804,95,1.029
2020-10-02,804,avtoplin-lpg,0.587
2020-10-02,804,dizel,1.019
2020-10-02,804,dizel-premium,1.239
2020-10-02,805,100,1.169
2020-10-02,805,95,1.029
2020-10-02,805,KOEL,0.777
2020-10-02,805,dizel,1.019
2020-10-02,805,dizel-premium,1.239
2020-10-02,806,100,1.129
2020-10-02,806,95,1.000
2020-10-02,806,dizel,1.000
2020-10-02,807,100,1.129
2020-10-02,807,95,1.000
2020-10-02,807,KOEL,0.777
2020-10-02,807,dizel,1.000
2020-10-02,808,100,1.129
2020-10-02,808,95,1.000
2020-10-02,808,dizel,1.000
2020-10-02,809,100,1.129
2020-10-02,809,95,1.000
2020-10-02,809,dizel,1.000
2020-10-02,810,100,1.129
2020-10-02,810,95,1.000
2020-10-02,810,KOEL,0.777
