date,station_pk,fuel,price
2026-01-05,1923,avtoplin-lpg,0.849
2026-01-05,1945,avtoplin-lpg,0.849
2026-01-05,1949,avtoplin-lpg,0.849
2026-01-05,1976,avtoplin-lpg,0.849
2026-01-05,1977,avtoplin-lpg,0.849
2026-01-05,1978,avtoplin-lpg,0.849
2026-01-05,2000,avtoplin-lpg,0.849
2026-01-05,2009,avtoplin-lpg,0.849
2026-01-05,2018,avtoplin-lpg,0.849
2026-01-05,2026,avtoplin-lpg,0.849
2026-01-05,2027,avtoplin-lpg,0.849
2026-01-05,2030,avtoplin-lpg,0.849
2026-01-05,2031,avtoplin-lpg,0.849
2026-01-05,2032,avtoplin-lpg,0.849
2026-01-05,2059,avtoplin-lpg,0.849
2026-01-05,2060,avtoplin-lpg,0.849
2026-01-05,2088,avtoplin-lpg,0.849
2026-01-05,2089,avtoplin-lpg,0.849
2026-01-05,2096,avtoplin-lpg,0.849
2026-01-05,2100,avtoplin-lpg,0.849
2026-01-05,2101,avtoplin-lpg,0.849
2026-01-05,2120,avtoplin-lpg,0.849
2026-01-05,2123,avtoplin-lpg,0.849
2026-01-05,2175,avtoplin-lpg,0.849
2026-01-05,2176,avtoplin-lpg,0.849
2026-01-05,2201,avtoplin-lpg,0.849
2026-01-05,2202,avtoplin-lpg,0.849
2026-01-05,2216,avtoplin-lpg,0.849
2026-01-05,2229,avtoplin-lpg,0.849
2026-01-05,2230,avtoplin-lpg,0.849
2026-01-05,2231,avtoplin-lpg,0.849
2026-01-05,2232,avtoplin-lpg,0.849
2026-01-06,1951,100,
2026-01-06,1951,95,
2026-01-06,1951,KOEL,
2026-01-06,1951,avtoplin-lpg,
2026-01-06,1951,dizel,
2026-01-06,2296,95,1.369
2026-01-06,2296,dizel,1.387
2026-01-07,1923,100,1.723
2026-01-07,1945,100,1.723
2026-01-07,1949,100,1.723
2026-01-07,1949,dizel-premium,1.691
2026-01-07,1976,100,1.723
2026-01-07,1977,100,1.723
2026-01-07,1977,dizel-premium,1.691
2026-01-07,1978,100,1.723
2026-01-07,1978,dizel-premium,1.691
2026-01-07,1997,100,1.723
2026-01-07,1997,dizel-premium,1.691
2026-01-07,2000,100,1.723
2026-01-07,2000,dizel-premium,1.691
2026-01-07,2008,100,1.723
2026-01-07,2009,100,1.723
2026-01-07,2009,dizel-premium,1.691
2026-01-07,2018,100,1.723
2026-01-07,2019,100,1.723
2026-01-07,2026,100,1.723
2026-01-07,2027,100,1.723
2026-01-07,2027,dizel-premium,1.691
2026-01-07,2030,100,1.723
2026-01-07,2031,100,1.723
2026-01-07,2032,100,1.723
2026-01-07,2032,dizel-premium,1.691
2026-01-07,2059,100,1.723
2026-01-07,2059,dizel-premium,1.691
2026-01-07,2060,100,1.723
2026-01-07,2060,dizel-premium,1.691
2026-01-07,2088,100,1.723
2026-01-07,2088,dizel-premium,1.691
2026-01-07,2089,100,1.723
2026-01-07,2089,dizel-premium,1.691
2026-01-07,2095,100,1.723
2026-01-07,2095,dizel-premium,1.691
2026-01-07,2096,100,1.723
2026-01-07,2096,dizel-premium,1.691
2026-01-07,2100,100,1.723
2026-01-07,2101,100,1.723
2026-01-07,2120,100,1.723
2026-01-07,2123,100,1.723
2026-01-07,2123,dizel-premium,1.691
2026-01-07,2141,100,1.723
2026-01-07,2141,dizel-premium,1.691
2026-01-07,2162,100,1.723
2026-01-07,2162,dizel-premium,1.691
2026-01-07,2175,100,1.723
2026-01-07,2176,100,1.723
2026-01-07,2201,100,1.723
2026-01-07,2202,100,1.723
2026-01-07,2216,100,1.723
2026-01-07,2216,dizel-premium,1.691
2026-01-07,2229,100,1.723
2026-01-07,2229,dizel-premium,1.691
2026-01-07,2230,100,1.723
2026-01-07,2230,dizel-premium,1.691
2026-01-07,2231,100,1.723
2026-01-07,2231,dizel-premium,1.691
2026-01-07,2232,100,1.723
2026-01-07,2232,dizel-premium,1.691
2026-01-09,1923,avtoplin-lpg,0.889
2026-01-09,1943,avtoplin-lpg,0.849
2026-01-09,1945,avtoplin-lpg,0.889
2026-01-09,1948,avtoplin-lpg,0.849
2026-01-09,1949,avtoplin-lpg,0.889
2026-01-09,1952,avtoplin-lpg,0.849
2026-01-09,1956,avtoplin-lpg,0.849
2026-01-09,1957,avtoplin-lpg,0.849
2026-01-09,1962,avtoplin-lpg,0.849
2026-01-09,1970,avtoplin-lpg,0.849
2026-01-09,1976,avtoplin-lpg,0.889
2026-01-09,1977,avtoplin-lpg,0.889
2026-01-09,1978,avtoplin-lpg,0.889
2026-01-09,1990,avtoplin-lpg,0.849
2026-01-09,1992,avtoplin-lpg,0.849
2026-01-09,1993,avtoplin-lpg,0.849
2026-01-09,1994,avtoplin-lpg,0.849
2026-01-09,1995,avtoplin-lpg,0.849
2026-01-09,1996,avtoplin-lpg,0.849
2026-01-09,2000,avtoplin-lpg,0.889
2026-01-09,2002,avtoplin-lpg,0.849
2026-01-09,2003,avtoplin-lpg,0.849
2026-01-09,2004,avtoplin-lpg,0.849
2026-01-09,2005,avtoplin-lpg,0.849
2026-01-09,2006,avtoplin-lpg,0.849
2026-01-09,2007,avtoplin-lpg,0.849
2026-01-09,2009,avtoplin-lpg,0.889
2026-01-09,2014,avtoplin-lpg,0.849
2026-01-09,2016,avtoplin-lpg,0.849
2026-01-09,2018,avtoplin-lpg,0.889
2026-01-09,2021,avtoplin-lpg,0.849
2026-01-09,2025,avtoplin-lpg,0.849
2026-01-09,2026,avtoplin-lpg,0.889
2026-01-09,2027,avtoplin-lpg,0.889
2026-01-09,2028,avtoplin-lpg,0.849
2026-01-09,2029,avtoplin-lpg,0.849
2026-01-09,2030,avtoplin-lpg,0.889
2026-01-09,2031,avtoplin-lpg,0.889
2026-01-09,2032,avtoplin-lpg,0.889
2026-01-09,2033,avtoplin-lpg,0.849
2026-01-09,2034,avtoplin-lpg,0.849
2026-01-09,2046,avtoplin-lpg,0.849
2026-01-09,2048,avtoplin-lpg,0.849
2026-01-09,2059,avtoplin-lpg,0.889
2026-01-09,2060,avtoplin-lpg,0.889
2026-01-09,2071,avtoplin-lpg,0.849
2026-01-09,2074,avtoplin-lpg,0.849
2026-01-09,2080,avtoplin-lpg,0.849
2026-01-09,2083,avtoplin-lpg,0.849
2026-01-09,2088,avtoplin-lpg,0.889
2026-01-09,2089,avtoplin-lpg,0.889
2026-01-09,2092,avtoplin-lpg,0.849
2026-01-09,2094,avtoplin-lpg,0.849
2026-01-09,2096,avtoplin-lpg,0.889
2026-01-09,2098,avtoplin-lpg,0.849
2026-01-09,2100,avtoplin-lpg,0.889
2026-01-09,2101,avtoplin-lpg,0.889
2026-01-09,2110,avtoplin-lpg,0.849
2026-01-09,2115,avtoplin-lpg,0.849
2026-01-09,2119,avtoplin-lpg,0.849
2026-01-09,2120,avtoplin-lpg,0.889
2026-01-09,2123,avtoplin-lpg,0.889
2026-01-09,2126,avtoplin-lpg,0.849
2026-01-09,2131,avtoplin-lpg,0.849
2026-01-09,2132,avtoplin-lpg,0.849
2026-01-09,2133,avtoplin-lpg,0.849
2026-01-09,2134,avtoplin-lpg,0.849
2026-01-09,2135,avtoplin-lpg,0.849
2026-01-09,2136,avtoplin-lpg,0.849
2026-01-09,2138,avtoplin-lpg,0.849
2026-01-09,2139,avtoplin-lpg,0.849
2026-01-09,2144,avtoplin-lpg,0.849
2026-01-09,2147,avtoplin-lpg,0.849
2026-01-09,2164,avtoplin-lpg,0.849
2026-01-09,2168,avtoplin-lpg,0.849
