pk,name,address,zip_code,lat,lng,method,gurs_address,gurs_lat,gurs_lng,distance_m,error
1947,PETROL NOVA GORICA - VOJKOVA VZHOD,VOJKOVA CESTA 51,5000,45.962335,13.649495,address,"Vojkova cesta 51, 5000 Nova Gorica",45.96233,13.64960,8,
1948,PETROL MOŠKANJCI,MOŠKANJCI 1G,2272,46.41689,15.985636,reverse,"Moškanjci 1, 2272 Gorišnica",46.41740,15.98706,123,address not found
1949,PETROL PODLEHNIK AC - VZHOD,STANOŠINA 35,2286,46.326604,15.880214,address,"Stanošina 35, 2286 Podlehnik",46.32686,15.88009,30,
1950,PETROL IDRIJA,VOJKOVA ULICA 27,5280,46.00620792,14.02764615,address,"Vojkova ulica 27, 5280 Idrija",46.00621,14.02771,5,
1951,PETROL LENART,KRAIGHERJEVA ULICA 40,2230,46.58401138,15.84030408,address,"Kraigherjeva ulica 40, 2230 Lenart v Slov. goricah",46.58400,15.84012,14,
1952,PETROL ROŽNA DOLINA,VIPAVSKA CESTA 3A,5000,45.942191,13.638451,address,"Vipavska cesta 3a, 5000 Nova Gorica",45.94218,13.63855,8,
1953,PETROL ČRNCI,ČRNCI 47A,9253,46.69630599,15.88782207,address,"Črnci 47a, 9253 Apače",46.69611,15.88867,68,
1954,PETROL MARIBOR - POBREŽJE,ČUFARJEVA CESTA 10,2000,46.5542838,15.66939413,address,"Čufarjeva cesta 10, 2000 Maribor",46.55426,15.66924,12,
1955,PETROL MOST NA SOČI,MOST NA SOČI 51B,5216,46.15283904,13.74145196,address,"Most na Soči 51b, 5216 Most na Soči",46.15282,13.74152,6,
1956,PETROL MARIBOR - PTUJSKA 188,PTUJSKA CESTA 188,2000,46.52829802,15.67244913,address,"Ptujska cesta 188, 2000 Maribor",46.52828,15.67229,12,
1957,PETROL KOBARID,GORIŠKA CESTA 8,5222,46.2417162,13.58250354,address,"Goriška cesta 8, 5222 Kobarid",46.24168,13.58259,8,
