pk,franchise_pk,name,address,zip_code,lat,lng,first_seen,last_seen
2251,3,BS MAXEN ŽUŽEMBERK,Grajski trg bš,8360,45.8333056,14.9274912,2020-10-01T13:18:30Z,
2252,3,BS MAXEN VELENJE,Črnova bš,3320,46.347808,15.1495248,2020-10-01T13:18:30Z,
2253,3,BS MAXEN LOGATEC,Tržaška cesta bš,1370,45.9388,14.2365616,2020-10-01T13:18:30Z,
2254,3,BS MAXEN RIBNICA,Gorenjska cesta bš,1310,45.7490272,14.7190224,2020-10-01T13:18:30Z,
2255,3,BS MAXEN NOVO MESTO,Mirnopeška cesta bš,8000,45.8202208,15.1490384,2020-10-01T13:18:30Z,
2256,3,BS MAXEN KRANJ,Cesta Staneta Žagarja bš,4000,46.24224,14.3774704,2020-10-01T13:18:30Z,
2257,3,BS MAXEN AJDOVŠČINA,Vipavska cesta bš,5270,45.8809344,13.9107888,2020-10-01T13:18:30Z,
2258,5,SHELL KOPER,SERMIN 7C,6000,45.552486,13.762092,2020-10-01T13:18:30Z,
2259,5,SHELL AJDOVŠČINA,MIRCE 20,5270,45.883317,13.891954,2020-10-01T13:18:30Z,
2260,5,SHELL SEŽANA,PARTIZANSKA CESTA 79,6210,45.703002,13.850927,2020-10-01T13:18:30Z,
2261,5,SHELL VRTOJBA,IC POLJE,5290,45.921155,13.634505,2020-10-01T13:18:30Z,
2262,5,SHELL BIČ,BIČ 11,8213,45.924703,14.889676,2020-10-01T13:18:30Z,
2263,5,SHELL ŠENČUR,POSLOVNA CONA 12A,4208,46.245779,14.410096,2020-10-01T13:18:30Z,
2264,5,SHELL JESENICE,SPODNJI PLAVZ 6B,4270,46.444186,14.026966,2020-10-01T13:18:30Z,
2265,5,SHELL TRUCK CENTER MARIBOR FRAM,TURNEJEVA ULICA 35,2313,46.449892,15.651698,2020-10-01T13:18:30Z,
2266,5,SHELL FRAM MARIBOR RETAIL,TURNEJEVA ULICA 35,2313,46.449892,15.651698,2020-10-01T13:18:30Z,
2267,6,EKO-NAFTA d.o.o.,"Trimlini 65A, 9220 Lendava - Lendva",9220,46.5429019,16.4429144,2020-10-01T13:18:30Z,
2268,9,BS Pesniška vrata,Pesnica pri Mariboru 32e,2211,46.601243,15.674333,2020-10-01T13:18:30Z,
2269,10,Butan plin - črpalka avtoplina v Ljubljani,Verovškova ulica 70,1000,46.080815,14.501862,2020-10-01T13:18:30Z,2025-08-12T09:36:26Z
2270,10,Butan plin - črpalka avtoplina v Izoli,Polje 6a,6310,45.537987,13.670166,2020-10-01T13:18:30Z,2026-04-07T05:56:12Z
2271,2,BS MOL MARIBOR STUDENCI,Ulica heroja Šercerja 60,2000,46.548645,15.620617,2020-10-01T13:18:30Z,
2272,1,PETROL BLED - SELIŠKA,SELIŠKA CESTA 4C,4260,46.370163,14.116395,2020-10-01T13:18:30Z,
2273,11,ECO OIL MARIBOR,ZAGREBŠKA CESTA 24,2000,46.534411,15.6574563,2020-10-01T13:18:30Z,
2274,11,ECO OIL LJUBLJANA,CELOVŠKA CESTA 206,1000,46.1044913,14.4534852,2020-10-01T13:18:30Z,2022-02-07T08:34:34Z
2275,11,ECO OIL TURNIŠČE,ULICA ŠTEFANA KOVAČA,9224,46.6209381,16.3199527,2020-10-01T13:18:30Z,
2276,11,ECO OIL SEŽANA,PARTIZANSKA CESTA,6210,45.7047532,13.855647,2020-10-01T13:18:30Z,
2283,2,BS MOL ŠALOVCI,Šalovci 168,9204,46.821993,16.278851,2020-10-01T13:18:30Z,
2284,2,BS MOL HOTIZA,Ložič 1,9220,46.551502,16.344579,2020-10-01T13:18:30Z,
2285,2,BS MOL LENART,Kraigherjeva ulica 19,2230,46.579295,15.834392,2020-10-01T13:18:30Z,
2286,2,BS MOL RADLJE OB DRAVI,Mariborska cesta 60,2360,46.612815,15.232126,2020-10-01T13:18:30Z,
2287,2,BS MOL LAŠKO,Celjska cesta 2,3270,46.162431,15.23171,2020-10-01T13:18:30Z,
2288,2,BS MOL PAY&GO TRŽIČ,Cesta Ste Marie aux mines 7,4290,46.358642,14.298618,2020-10-01T13:18:30Z,
2289,2,BS MOL PAY&GO KRANJ,Šuceva ulica 23 a,4000,46.246355,14.378,2020-10-01T13:18:30Z,
2290,2,BS MOL PAY&GO MEDVODE,Gorenjska cesta 12,1215,46.136526,14.417849,2020-10-01T13:18:30Z,
2291,2,BS MOL PAY&GO LJUBLJANA TOPLARNIŠKA,Toplarniška ulica 4,1000,46.056904,14.541465,2020-10-01T13:18:30Z,
2292,2,BS MOL PAY&GO LJUBLJANA TRŽAŠKA,Tržaška 429,1000,46.027435,14.4353,2020-10-01T13:18:30Z,
2293,2,BS MOL PAY&GO IVANČNA GORICA,Cesta 2. grupe odredov 4,1295,45.936326,14.805261,2020-10-01T13:18:30Z,
2294,2,BS MOL PAY&GO POSTOJNA,Industrijska cesta 4,6230,45.769831,14.197979,2020-10-01T13:18:30Z,
2295,2,BS MOL PAY&GO ILIRSKA BISTRICA,Vilharjeva cesta 58,6250,45.576279,14.23011,2020-10-01T13:18:30Z,
2296,15,DISCONT OiL - BS Maribor,Tržaška cesta 35,2000,46.529195,15.646512,2020-10-01T13:18:30Z,
2297,16,Agas Maribor,Perhavčeva ulica 15,2000,46.525107,15.667885,2020-10-01T13:18:30Z,
2299,16,Agas Slovenska Bistrica,Žolgarjeva ulica 25,2310,46.385204,15.576529,2020-10-01T13:18:30Z,
2302,19,LOGO BENCINSKI SERVISI d.o.o. PE BREZOVICA,Tržaška cesta 358,1351,46.026026,14.4284534,2020-10-01T13:18:30Z,
2303,19,Bencinski servis Tupaliče,Tupaliče 35a,4205,46.2955877,14.4297645,2020-10-01T13:18:30Z,
2304,19,Bencinski servis Velika Pirešica,Velika Pirešica 60,3310,46.28633117675781,15.176063537597656,2020-10-01T13:18:30Z,
2305,19,Bencinski servis Škofja Loka,Grenc 57,4220,46.1730598,14.3212867,2020-10-01T13:18:30Z,
2306,33,Bencinski servis Stella,Juršinci 81a,2256,46.4832476,15.965107,2020-10-01T13:18:30Z,
2307,19,Bencinski servis Sodražica,cesta Notranjskega odreda 56,1317,45.76375961303711,14.63137435913086,2020-10-01T13:18:30Z,
2308,19,Tankomat Grosuplje,Ljubljanska cesta 66,1290,45.96573257446289,14.659423828125,2020-10-01T13:18:30Z,
2309,19,Tankomat Sežana,Cesta na Lenivec 32,6210,45.7087287902832,13.8604755401611,2020-10-01T13:18:30Z,
2310,19,Tankomat Jesenice,Cesta železarjev 8,4270,46.43106460571289,14.07077407836914,2020-10-01T13:18:30Z,2024-01-04T06:30:20Z
2311,18,BS Merkantil KNEŽAK,KNEŽAK 3,6253,45.625625,14.239867,2020-10-02T06:29:55Z,
2312,17,HOJNIK Oil BS Leskovec,Leskovec 15,3000,46.259264,15.310556,2020-10-02T09:26:38Z,
2313,14,West Oil BS Zavrč,Zavrč 8c,2283,46.3896077,16.05135585,2020-10-06T08:29:38Z,
2314,22,BS DEMOL,Mislinjska Dobrava 49,2383,46.459512,15.137156,2020-10-15T10:29:19Z,
2315,21,Bencinski servis STRANICE,Osredek 33,3214,46.36054099833075,15.385325730057207,2020-10-15T10:29:19Z,
2316,23,BS Žihlava,Žihlava 15,9244,46.55,16.0396,2020-10-21T06:34:22Z,
2317,23,BS Lemerje,Lemerje 2,9201,46.7094,16.1102,2020-10-21T06:34:22Z,
2318,24,PRUNK OIL,Mednarodni prehod 1a,5290,45.9207599,13.6284418,2020-10-22T06:34:35Z,
2319,26,EKSTRA OLJE,Limbuška cesta 2,2341,46.559416,15.597476,2020-10-29T19:19:24Z,
2320,25,URMA D.O.O.,DEKANI 076 E,6271,1E-15,-1E-15,2020-11-04T07:22:45Z,
2321,29,Mi oskrba d.o.o.,Hrašče 4c,6230,45.77353972485529,14.16884039205976,2020-12-02T09:29:41Z,
2322,27,BENCINSKI SERVIS KOVAČIČ,Grm 12,8210,45.89790647835315,15.052119626875369,2020-12-29T15:43:30Z,
2323,2,BS MOL KOPER LUKA,Vojkovo nabrežje 38,6000,45.55757,13.75353,2021-05-10T12:51:30Z,
2324,19,LOGO BENCINSKI SERVIS d.o.o.,Ljubljanska cesta 62,1290,45.96802,14.66103,2021-09-02T08:37:53Z,
2325,12,"Avtočrpalka Kozina, INA Slovenija",Kolodvorska ulica 18,6240,45.600152572030176,13.932618123578347,2022-03-22T11:27:19Z,2024-09-29T22:30:49Z
2326,30,Ka olje d.o.o.,ŠKOJELOŠKA CESTA 16,1217,46.1845316,14.47429,2022-04-05T06:39:18Z,
2327,15,DISCONT OiL - BS Bezena,Bezena 99,2342,46.5499175582367,15.538353293954877,2022-12-07T10:31:39Z,
2328,19,Tankomat Jesenice,Cesta Železarjev 8,4270,46.43106460571289,14.07077407836914,2023-01-17T14:27:26Z,
2329,31,,Sermin 8A,6000,45.552372,13.766288,2023-03-28T13:31:56Z,
2330,31,,Plinarniška 1,3000,46.24061,15.2898,2024-02-07T10:28:46Z,
2331,11,ECO OIL FRAM,TURNERJEVA ULICA,2313,46.451048,15.65166,2024-02-07T10:28:46Z,
2332,2,BS MOL RAVNE,Dobja vas 18b,2390,46.544943013174425,14.939777713626901,2023-06-07T22:27:11Z,
2333,32,ENERGETSKI CENTER DOLENJSKE,zwittrova ulica B.H.,8000,45.80982474643234,15.160023593134378,2024-02-07T10:28:46Z,
2334,5,SHELL ROGAŠKA SLATINA,Tržišče 12 b,3250,46.308,15.5665,2023-10-23T22:27:34Z,
2335,5,SHELL ŠMARJE PRI JELŠAH,Celjska cesta 55,3240,46.22878,15.504,2023-10-23T22:27:34Z,
2336,5,SHELL MIKLAVŽ,Ptujska cesta 135,2204,46.53067,15.67062,2023-11-06T23:23:39Z,
2337,5,SHELL LITIJA,Ljubljanska cesta 10 B,1270,46.057722042151795,14.82292837241754,2023-11-13T14:28:12Z,
2338,5,SHELL MURSKA SOBOTA Lendavska,Lendavska ulica 75,9000,46.667481,16.176773,2023-11-14T08:28:31Z,
2339,5,SHELL ŽALEC,Mala Pirešica 22,3301,46.266973,15.189107,2023-12-01T10:31:00Z,
2340,5,SHELL KOZINA,Bazoviška cesta 18,6240,45.60911603335073,13.93361083463169,2023-12-04T23:24:52Z,
2341,5,SHELL LJUTOMER,Kolodvorska ulica 2A,9240,46.52613423254767,16.193609363823846,2023-12-06T11:22:54Z,
2342,5,SHELL SENOŽETI,"Senožeti 93, 1262 Senožeti",,46.088862059954124,14.716871893530739,2023-12-14T15:26:05Z,
2343,5,SHELL NOVO MESTO,"Mirnopeška 4, 8000 Novo Mesto",8000,45.821327325964894,15.150560521690572,2023-12-11T11:23:26Z,
2344,5,SHELL ARCLIN,"3211 Arclin – Škofja Vas, Arclin 101",3211,46.27879929325074,15.300271376669105,2023-12-12T12:44:09Z,
2345,5,SHELL DRNOVO,"Velika Vas pri Krškem 69, 8273 Drnovo",8273,45.92022102331869,15.47376189244999,2023-12-12T12:44:09Z,
2346,5,SHELL CELJE MARIBORSKA,Mariborska 128,3000,46.24423316065561,15.278462363239953,2023-12-11T12:45:03Z,
2347,5,SHELL PRESTRANEK,Reška cesta 18B,6258,45.728174292934355,14.187886149162168,2024-01-03T23:25:52Z,
2348,5,SHELL MURSKA SOBOTA Bakovska,Bakovska 31 A,9000,46.64580322249098,16.16815983270674,2023-12-18T16:32:46Z,
2349,5,SHELL SEZANA,Partizanska cesta 69A,6210,45.70519088779502,13.861015699133779,2024-01-29T11:22:35Z,
2350,5,SHELL KOPER SEMEDELA,Istrska cesta 53,6000,45.5389688698564,13.728621313111132,2024-01-22T06:32:01Z,
2351,5,SHELL CELJE KIDRIČEVA,Kidričeva ulica 40,3000,46.234018307787046,15.296215827340855,2024-01-29T23:25:17Z,
2352,5,SHELL KOPER BERTOKI,Cesta med vinogradi 52,6000,45.55542689115159,13.78089458948286,2024-02-12T13:25:54Z,
2353,5,SHELL KOCEVJE RESKA,Reška cesta 25a,1330,45.63286356949685,14.864140348800042,2024-02-14T10:29:08Z,
2354,5,SHELL CELJE AERO,Dečkova cesta 39,3000,46.24061678625168,15.256515119602888,2024-02-14T10:29:08Z,
2355,5,SHELL POSTOJNA TRŽAŠKA,Tržaška cesta 60b,6230,45.772716370874754,14.200187856694102,2024-02-21T14:26:29Z,
2356,5,SHELL BENEDIKT,Radgonska cesta 15,2234,46.61058906474378,15.89398684995135,2024-02-26T15:24:42Z,
2357,5,SHELL TEPANJE,Tepanje 4b,3210,46.34088409645317,15.469610360423939,2024-03-07T13:23:35Z,
2358,5,SHELL BREZOVICA,Tržaška cesta 565,1351,46.02261874034981,14.407761204034685,2024-03-05T11:22:38Z,
2359,5,SHELL MARIBOR V,Maribor Ptujska 2,2000,46.522438503045684,15.679910715884338,2024-03-08T11:23:17Z,
2360,5,SHELL LOKEV,Lokev 1a,6219,45.66133077329971,13.919418145832134,2024-03-08T11:23:17Z,
2361,5,SHELL KOMENDA,Potok pri Komendi 8,1218,46.20581146877878,14.523937545251142,2024-03-14T11:22:56Z,
2362,5,SHELL MARIBOR PTUJSKA ZAHOD,Ptujska cesta 104,2000,46.535127602458296,15.661573380820581,2024-03-01T10:28:57Z,
2363,5,SHELL TRBOVLJE,Vodenska cesta 28 A,1420,46.14297981487424,15.036054161327268,2024-03-01T10:28:57Z,
2364,5,SHELL IZOLA SEVER,Prešernova cesta 2a,6310,45.53789717461961,13.66872067047427,2024-03-27T09:24:41Z,
2365,5,SHELL MARIBOR BOHOVA,Tržaška cesta 83,2000,46.51807271424088,15.651544379912487,2024-03-27T09:24:41Z,
2366,5,SHELL GEDEROVCI,Gederovci 17a,,46.679179385276846,16.056043959027516,2024-03-27T09:24:41Z,
2367,5,SHELL KOČEVJE,Gornje Ložine 1A,1332,45.68934644998123,14.799691221318923,2024-03-27T09:24:41Z,
2368,5,SHELL SLOVENSKE KONJICE,Liptovska cesta 32B,2310,46.34011896303725,15.418721900923186,2024-04-22T14:28:00Z,
2369,5,SHELL LUCIJA VZHOD,Vinjole 29b,6320,45.50086689761921,13.610492852317408,2024-04-22T14:28:00Z,
2370,5,SHELL STOJNCI,Stojnci 24,2281,46.38048175449777,15.972530744906699,2024-04-22T22:29:39Z,
2371,5,SHELL AJŠEVICA,Loke 40,5000,45.953170561531195,13.691872647114305,2024-04-22T22:29:39Z,
2372,5,SHELL ZG. POLSKAVA,Bukovec 1b,2314,46.43088480445796,15.627126931204163,2024-04-22T22:29:39Z,
2373,2,BS MOL MURSKA SOBOTA Lendavska,Lendavska 60d,9000,46.66673,16.17698,2024-05-22T09:27:44Z,
2374,2,BS MOL LJUTOMER,Kolodvorska 7a,9240,46.5289,16.19006,2024-05-17T11:22:35Z,
2378,1,PETROL ARNOVSKI GOZD,MALA PIREŠICA 23,3301,46.26910159,15.18931474,2025-11-13T04:40:37Z,
