ts,station_pk,franchise_pk
2020-10-01T13:18:30Z,1581,4
2020-10-01T13:18:30Z,1582,4
2020-10-01T13:18:30Z,1583,4
2020-10-01T13:18:30Z,1584,4
2020-10-01T13:18:30Z,1585,4
2020-10-01T13:18:30Z,1586,4
2020-10-01T13:18:30Z,1587,4
2020-10-01T13:18:30Z,1588,4
2020-10-01T13:18:30Z,1589,4
2020-10-01T13:18:30Z,1590,4
2020-10-01T13:18:30Z,1591,4
2020-10-01T13:18:30Z,1592,4
2020-10-01T13:18:30Z,1593,4
2020-10-01T13:18:30Z,1921,1
2020-10-01T13:18:30Z,1922,1
2020-10-01T13:18:30Z,1923,1
2020-10-01T13:18:30Z,1924,1
2020-10-01T13:18:30Z,1925,1
2020-10-01T13:18:30Z,1926,1
2020-10-01T13:18:30Z,1927,1
2020-10-01T13:18:30Z,1928,1
2020-10-01T13:18:30Z,1929,1
2020-10-01T13:18:30Z,1930,1
2020-10-01T13:18:30Z,1931,1
2020-10-01T13:18:30Z,1932,1
2020-10-01T13:18:30Z,1933,1
2020-10-01T13:18:30Z,1934,1
2020-10-01T13:18:30Z,1935,1
2020-10-01T13:18:30Z,1936,1
2020-10-01T13:18:30Z,1937,1
2020-10-01T13:18:30Z,1938,1
2020-10-01T13:18:30Z,1939,1
2020-10-01T13:18:30Z,1940,1
2020-10-01T13:18:30Z,1941,1
2020-10-01T13:18:30Z,1942,1
2020-10-01T13:18:30Z,1943,1
2020-10-01T13:18:30Z,1944,1
2020-10-01T13:18:30Z,1945,1
2020-10-01T13:18:30Z,1946,1
2020-10-01T13:18:30Z,1947,1
2020-10-01T13:18:30Z,1948,1
2020-10-01T13:18:30Z,1949,1
2020-10-01T13:18:30Z,1950,1
2020-10-01T13:18:30Z,1951,1
2020-10-01T13:18:30Z,1952,1
2020-10-01T13:18:30Z,1953,1
2020-10-01T13:18:30Z,1954,1
2020-10-01T13:18:30Z,1955,1
2020-10-01T13:18:30Z,1956,1
2020-10-01T13:18:30Z,1957,1
2020-10-01T13:18:30Z,1958,1
2020-10-01T13:18:30Z,1959,1
2020-10-01T13:18:30Z,1960,1
2020-10-01T13:18:30Z,1961,1
2020-10-01T13:18:30Z,1962,1
2020-10-01T13:18:30Z,1963,1
2020-10-01T13:18:30Z,1964,1
2020-10-01T13:18:30Z,1965,1
2020-10-01T13:18:30Z,1966,1
2020-10-01T13:18:30Z,1967,1
2020-10-01T13:18:30Z,1968,1
2020-10-01T13:18:30Z,1969,1
2020-10-01T13:18:30Z,1970,1
2020-10-01T13:18:30Z,1971,1
2020-10-01T13:18:30Z,1972,1
2020-10-01T13:18:30Z,1973,1
2020-10-01T13:18:30Z,1974,1
2020-10-01T13:18:30Z,1975,1
2020-10-01T13:18:30Z,1976,1
