ts,station_pk,fuel,price
2022-01-02T23:31:31Z,793,avtoplin-lpg,0.920
2022-01-02T23:31:31Z,1923,100,1.582
2022-01-02T23:31:31Z,1923,95,1.380
2022-01-02T23:31:31Z,1923,avtoplin-lpg,0.921
2022-01-02T23:31:31Z,1923,dizel,1.451
2022-01-02T23:31:31Z,1945,100,1.582
2022-01-02T23:31:31Z,1945,95,1.380
2022-01-02T23:31:31Z,1945,avtoplin-lpg,0.921
2022-01-02T23:31:31Z,1945,dizel,1.451
2022-01-02T23:31:31Z,1949,100,1.582
2022-01-02T23:31:31Z,1949,95,1.380
2022-01-02T23:31:31Z,1949,avtoplin-lpg,0.921
2022-01-02T23:31:31Z,1949,dizel,1.451
2022-01-02T23:31:31Z,1949,dizel-premium,1.708
2022-01-02T23:31:31Z,1976,100,1.582
2022-01-02T23:31:31Z,1976,95,1.380
2022-01-02T23:31:31Z,1976,avtoplin-lpg,0.921
2022-01-02T23:31:31Z,1976,dizel,1.451
2022-01-02T23:31:31Z,1977,100,1.582
2022-01-02T23:31:31Z,1977,95,1.380
2022-01-02T23:31:31Z,1977,avtoplin-lpg,0.921
2022-01-02T23:31:31Z,1977,dizel,1.451
2022-01-02T23:31:31Z,1977,dizel-premium,1.708
2022-01-02T23:31:31Z,1978,100,1.582
2022-01-02T23:31:31Z,1978,95,1.380
2022-01-02T23:31:31Z,1978,avtoplin-lpg,0.921
2022-01-02T23:31:31Z,1978,dizel,1.451
2022-01-02T23:31:31Z,1978,dizel-premium,1.708
2022-01-02T23:31:31Z,1997,100,1.582
2022-01-02T23:31:31Z,1997,95,1.380
2022-01-02T23:31:31Z,1997,dizel,1.451
2022-01-02T23:31:31Z,2000,100,1.582
2022-01-02T23:31:31Z,2000,95,1.380
2022-01-02T23:31:31Z,2000,avtoplin-lpg,0.921
2022-01-02T23:31:31Z,2000,dizel,1.451
2022-01-02T23:31:31Z,2000,dizel-premium,1.708
2022-01-02T23:31:31Z,2008,100,1.582
2022-01-02T23:31:31Z,2008,95,1.380
2022-01-02T23:31:31Z,2008,dizel,1.451
2022-01-02T23:31:31Z,2009,100,1.582
2022-01-02T23:31:31Z,2009,95,1.380
2022-01-02T23:31:31Z,2009,avtoplin-lpg,0.921
2022-01-02T23:31:31Z,2009,dizel,1.451
2022-01-02T23:31:31Z,2009,dizel-premium,1.708
2022-01-02T23:31:31Z,2018,100,1.582
2022-01-02T23:31:31Z,2018,95,1.380
2022-01-02T23:31:31Z,2018,avtoplin-lpg,0.921
2022-01-02T23:31:31Z,2018,dizel,1.451
2022-01-02T23:31:31Z,2019,100,1.582
2022-01-02T23:31:31Z,2019,95,1.380
2022-01-02T23:31:31Z,2019,dizel,1.451
2022-01-02T23:31:31Z,2026,100,1.582
2022-01-02T23:31:31Z,2026,95,1.380
2022-01-02T23:31:31Z,2026,avtoplin-lpg,0.921
2022-01-02T23:31:31Z,2026,dizel,1.451
2022-01-02T23:31:31Z,2027,100,1.582
2022-01-02T23:31:31Z,2027,95,1.380
2022-01-02T23:31:31Z,2027,avtoplin-lpg,0.921
