ts,station_pk,fuel,price
2026-01-04T23:32:04Z,1923,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,1945,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,1949,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,1976,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,1977,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,1978,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2000,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2009,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2018,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2026,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2027,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2030,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2031,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2032,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2059,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2060,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2088,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2089,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2096,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2100,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2101,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2120,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2123,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2175,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2176,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2201,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2202,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2216,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2229,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2230,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2231,avtoplin-lpg,0.849
2026-01-04T23:32:04Z,2232,avtoplin-lpg,0.849
2026-01-05T08:49:41Z,1951,100,
2026-01-05T08:49:41Z,1951,95,
2026-01-05T08:49:41Z,1951,KOEL,
2026-01-05T08:49:41Z,1951,avtoplin-lpg,
2026-01-05T08:49:41Z,1951,dizel,
2026-01-05T13:08:50Z,2296,95,1.369
2026-01-05T13:08:50Z,2296,dizel,1.387
2026-01-06T23:33:21Z,1923,100,1.723
2026-01-06T23:33:21Z,1945,100,1.723
2026-01-06T23:33:21Z,1949,100,1.723
2026-01-06T23:33:21Z,1949,dizel-premium,1.691
2026-01-06T23:33:21Z,1976,100,1.723
2026-01-06T23:33:21Z,1977,100,1.723
2026-01-06T23:33:21Z,1977,dizel-premium,1.691
2026-01-06T23:33:21Z,1978,100,1.723
2026-01-06T23:33:21Z,1978,dizel-premium,1.691
2026-01-06T23:33:21Z,1997,100,1.723
2026-01-06T23:33:21Z,1997,dizel-premium,1.691
2026-01-06T23:33:21Z,2000,100,1.723
2026-01-06T23:33:21Z,2000,dizel-premium,1.691
2026-01-06T23:33:21Z,2008,100,1.723
2026-01-06T23:33:21Z,2009,100,1.723
2026-01-06T23:33:21Z,2009,dizel-premium,1.691
2026-01-06T23:33:21Z,2018,100,1.723
2026-01-06T23:33:21Z,2019,100,1.723
2026-01-06T23:33:21Z,2026,100,1.723
2026-01-06T23:33:21Z,2027,100,1.723
2026-01-06T23:33:21Z,2027,dizel-premium,1.691
2026-01-06T23:33:21Z,2030,100,1.723
2026-01-06T23:33:21Z,2031,100,1.723
2026-01-06T23:33:21Z,2032,100,1.723
2026-01-06T23:33:21Z,2032,dizel-premium,1.691
2026-01-06T23:33:21Z,2059,100,1.723
2026-01-06T23:33:21Z,2059,dizel-premium,1.691
2026-01-06T23:33:21Z,2060,100,1.723
2026-01-06T23:33:21Z,2060,dizel-premium,1.691
2026-01-06T23:33:21Z,2088,100,1.723
2026-01-06T23:33:21Z,2088,dizel-premium,1.691
2026-01-06T23:33:21Z,2089,100,1.723
2026-01-06T23:33:21Z,2089,dizel-premium,1.691
2026-01-06T23:33:21Z,2095,100,1.723
2026-01-06T23:33:21Z,2095,dizel-premium,1.691
2026-01-06T23:33:21Z,2096,100,1.723
2026-01-06T23:33:21Z,2096,dizel-premium,1.691
2026-01-06T23:33:21Z,2100,100,1.723
2026-01-06T23:33:21Z,2101,100,1.723
2026-01-06T23:33:21Z,2120,100,1.723
2026-01-06T23:33:21Z,2123,100,1.723
2026-01-06T23:33:21Z,2123,dizel-premium,1.691
2026-01-06T23:33:21Z,2141,100,1.723
2026-01-06T23:33:21Z,2141,dizel-premium,1.691
2026-01-06T23:33:21Z,2162,100,1.723
2026-01-06T23:33:21Z,2162,dizel-premium,1.691
2026-01-06T23:33:21Z,2175,100,1.723
2026-01-06T23:33:21Z,2176,100,1.723
2026-01-06T23:33:21Z,2201,100,1.723
2026-01-06T23:33:21Z,2202,100,1.723
2026-01-06T23:33:21Z,2216,100,1.723
2026-01-06T23:33:21Z,2216,dizel-premium,1.691
2026-01-06T23:33:21Z,2229,100,1.723
2026-01-06T23:33:21Z,2229,dizel-premium,1.691
2026-01-06T23:33:21Z,2230,100,1.723
2026-01-06T23:33:21Z,2230,dizel-premium,1.691
2026-01-06T23:33:21Z,2231,100,1.723
2026-01-06T23:33:21Z,2231,dizel-premium,1.691
2026-01-06T23:33:21Z,2232,100,1.723
2026-01-06T23:33:21Z,2232,dizel-premium,1.691
2026-01-08T23:30:10Z,1923,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,1943,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,1945,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,1948,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,1949,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,1952,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,1956,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,1957,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,1962,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,1970,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,1976,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,1977,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,1978,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,1990,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,1992,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,1993,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,1994,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,1995,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,1996,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2000,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2002,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2003,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2004,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2005,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2006,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2007,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2009,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2014,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2016,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2018,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2021,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2025,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2026,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2027,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2028,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2029,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2030,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2031,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2032,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2033,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2034,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2046,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2048,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2059,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2060,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2071,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2074,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2080,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2083,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2088,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2089,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2092,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2094,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2096,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2098,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2100,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2101,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2110,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2115,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2119,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2120,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2123,avtoplin-lpg,0.889
2026-01-08T23:30:10Z,2126,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2131,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2132,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2133,avtoplin-lpg,0.849
2026-01-08T23:30:10Z,2134,avtoplin-lpg,0.849
