ts,station_pk,fuel,price
2025-01-03T12:51:26Z,2312,KOEL,1.143
2025-01-03T12:51:26Z,2312,dizel,1.504
2025-01-05T23:26:44Z,1923,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,1945,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,1949,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,1976,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,1977,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,1978,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2000,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2009,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2018,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2026,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2027,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2030,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2031,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2032,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2059,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2060,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2088,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2089,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2096,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2100,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2101,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2120,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2123,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2175,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2176,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2201,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2202,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2216,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2229,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2230,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2231,avtoplin-lpg,0.939
2025-01-05T23:26:44Z,2232,avtoplin-lpg,0.939
2025-01-06T23:27:58Z,1923,100,1.833
